source_file,subject,scenario,bpm,total_rows,valid_rows,valid_ratio,windows_produced,signal_std_mean,signal_rms_mean,signal_ptp_mean,zero_crossing_rate_mean,dominant_bpm_fft_mean
AN2_Noise_Take03_BPM17_20260418_144646.csv,AN2,Noise,17.0,675,674,0.9985,38,1.0,1.0,4.771722,0.058352,11.631579
AN2_Noise_Take04_BPM17_20260418_145237.csv,AN2,Noise,17.0,635,634,0.9984,34,1.0,1.0,5.135659,0.062168,19.235294
AN2_Noise_Take05_BPM17_20260418_145904.csv,AN2,Noise,17.0,584,583,0.9983,29,1.0,1.0,4.719352,0.059047,13.103448
AN2_Normal_Take01_BPM17_20260418_135252.csv,AN2,Normal,17.0,620,619,0.9984,32,1.0,1.0,5.054914,0.062291,17.3125
AN2_Normal_Take02_BPM17_20260418_135925.csv,AN2,Normal,17.0,706,705,0.9986,40,1.0,1.0,4.988081,0.055853,14.9
AN2_Normal_Take03_BPM17_20260418_140640.csv,AN2,Normal,17.0,710,709,0.9986,40,1.0,1.0,4.952698,0.05485,14.85
AN2_Normal_Take04_BPM17_20260418_141343.csv,AN2,Normal,17.0,602,601,0.9983,31,1.0,1.0,4.740734,0.052217,12.903226
AN2_Normal_Take05_BPM17_20260418_142317.csv,AN2,Normal,17.0,586,585,0.9983,29,1.0,1.0,5.159537,0.065044,20.62069
AN2_Slow_Take01_BPM12_20260418_131025.csv,AN2,Slow,12.0,654,653,0.9985,36,1.0,1.0,4.658907,0.060201,16.833333
AN2_Slow_Take02_BPM12_20260418_132001.csv,AN2,Slow,12.0,636,635,0.9984,34,1.0,1.0,4.932619,0.067283,22.176471
AN2_Slow_Take03_BPM12_20260418_132731.csv,AN2,Slow,12.0,680,679,0.9985,38,1.0,1.0,5.074071,0.052192,12.473684
AN2_Slow_Take04_BPM12_20260418_133553.csv,AN2,Slow,12.0,682,681,0.9985,39,1.0,1.0,5.094292,0.057371,18.461538
AN2_Slow_Take05_BPM12_20260418_134322.csv,AN2,Slow,12.0,696,695,0.9986,40,1.0,1.0,5.120838,0.058696,16.4
HAU1_Apnea_Take01_BPM06_20260418_163058.csv,HAU1,Apnea,6.0,638,637,0.9984,34,1.0,1.0,4.74338,0.054692,14.117647
HAU1_Apnea_Take02_BPM06_20260418_163705.csv,HAU1,Apnea,6.0,638,637,0.9984,34,1.0,1.0,5.061539,0.061578,17.705882
HAU1_Apnea_Take03_BPM06_20260418_164325.csv,HAU1,Apnea,6.0,656,655,0.9985,36,1.0,1.0,4.755872,0.061037,20.888889
HAU1_Apnea_Take04_BPM06_20260418_165247.csv,HAU1,Apnea,6.0,608,607,0.9984,31,1.0,1.0,5.028231,0.054698,11.677419
HAU1_Apnea_Take05_BPM06_20260418_165937.csv,HAU1,Apnea,6.0,647,646,0.9985,35,1.0,1.0,4.746219,0.05657,18.742857
HAU1_Fast_Take01_BPM26_20260418_191229.csv,HAU1,Fast,26.0,655,654,0.9985,36,1.0,1.0,5.476467,0.057692,15.611111
HAU1_Fast_Take02_BPM26_20260418_192045.csv,HAU1,Fast,26.0,712,711,0.9986,40,1.0,1.0,4.884982,0.05602,16.7
HAU1_Fast_Take03_BPM26_20260418_192904.csv,HAU1,Fast,26.0,588,587,0.9983,29,1.0,1.0,5.284051,0.060201,14.965517
HAU1_Fast_Take04_BPM26_20260418_193846.csv,HAU1,Fast,26.0,625,624,0.9984,33,1.0,1.0,5.088249,0.064964,18.606061
